config,leg,wall_median_s,wall_min_s,wall_max_s,wall_stdev_s,reps,solutions,expected,outcome,exit_code
nvidia_gpu,1245184,1.746,1.738,1.788,0.022,3,42106,42106,OK,0
nvidia_gpu,1310720,1.921,1.917,1.950,0.015,3,44313,44313,OK,0
nvidia_gpu,1376256,2.150,2.131,2.160,0.012,3,46576,46576,OK,0
nvidia_gpu,1441792,2.219,2.206,2.222,0.007,3,48779,48779,OK,0
nvidia_gpu,1507328,2.313,2.301,2.398,0.043,3,51053,51053,OK,0
nvidia_gpu,1572864,2.548,2.529,2.554,0.011,3,53287,53287,OK,0
nvidia_gpu,1638400,2.752,2.705,2.786,0.033,3,55529,55529,OK,0
nvidia_gpu,1703936,3.076,3.058,3.082,0.010,3,57818,57818,OK,0
nvidia_gpu,1769472,3.287,3.274,3.287,0.006,3,60100,60100,OK,0
nvidia_gpu,1835008,3.385,3.362,3.434,0.030,3,62308,62308,OK,0
nvidia_gpu,1900544,3.595,3.568,3.611,0.018,3,64577,64577,OK,0
nvidia_gpu,1966080,3.822,3.818,3.861,0.019,3,66881,66881,OK,0
nvidia_gpu,2031616,4.207,4.128,4.218,0.040,3,69120,69120,OK,0
nvidia_gpu,2097152,4.243,4.234,4.279,0.019,3,71424,71424,OK,0
